LAT,LON,X,Y,L,W,D,SLIP,RAKE,STRIKE,DIP
41.9154,143.0057,-48.3586,131.7184,20,20,5.58,1.33,90,156,20
41.7509,143.1023,-40.2239,113.4475,20,20,5.58,2.13,90,156,20
41.5865,143.1989,-32.0891,95.1766,20,20,5.58,0.57,90,156,20
41.4221,143.2955,-23.9544,76.9057,20,20,5.58,0.84,90,156,20
41.2577,143.3921,-15.8197,58.6348,20,20,5.58,1.27,90,156,20
41.0932,143.4887,-7.6849,40.3639,20,20,5.58,1.33,90,156,20
40.9288,143.5853,0.4498,22.093,20,20,5.58,2.04,90,156,20
40.7644,143.6819,8.5845,3.8221,20,20,5.58,0.66,90,156,20
40.6,143.7786,16.7193,-14.4488,20,20,5.58,1.29,90,156,20
40.4355,143.8752,24.854,-32.7197,20,20,5.58,1.24,90,156,20
40.2711,143.9718,32.9887,-50.9907,20,20,5.58,0.74,90,156,20
40.1067,144.0684,41.1235,-69.2616,20,20,5.58,1.1,90,156,20
41.8466,142.8018,-65.5276,124.0743,20,20,12.4204,0.52,90,156,20
41.6822,142.8984,-57.3929,105.8034,20,20,12.4204,1.27,90,156,20
41.5177,142.995,-49.2582,87.5325,20,20,12.4204,0.91,90,156,20
41.3533,143.0916,-41.1235,69.2616,20,20,12.4204,1.8,90,156,20
41.1889,143.1882,-32.9887,50.9907,20,20,12.4204,1.33,90,156,20
41.0245,143.2848,-24.854,32.7197,20,20,12.4204,0.9,90,156,20
40.86,143.3814,-16.7193,14.4488,20,20,12.4204,1.01,90,156,20
40.6956,143.4781,-8.5845,-3.8221,20,20,12.4204,0.49,90,156,20
40.5312,143.5747,-0.4498,-22.093,20,20,12.4204,1.58,90,156,20
40.3668,143.6713,7.6849,-40.3639,20,20,12.4204,1.94,90,156,20
40.2023,143.7679,15.8197,-58.6348,20,20,12.4204,1.27,90,156,20
40.0379,143.8645,23.9544,-76.9057,20,20,12.4204,0.9,90,156,20
41.7778,142.5979,-82.6967,116.4301,20,20,19.2608,1.27,90,156,20
41.6134,142.6945,-74.562,98.1592,20,20,19.2608,1.39,90,156,20
41.4489,142.7911,-66.4272,79.8883,20,20,19.2608,1.34,90,156,20
41.2845,142.8877,-58.2925,61.6174,20,20,19.2608,1.79,90,156,20
41.1201,142.9843,-50.1578,43.3465,20,20,19.2608,4.3,90,156,20
40.9557,143.0809,-42.023,25.0756,20,20,19.2608,2.44,90,156,20
40.7912,143.1776,-33.8883,6.8047,20,20,19.2608,0.74,90,156,20
40.6268,143.2742,-25.7536,-11.4662,20,20,19.2608,1.17,90,156,20
40.4624,143.3708,-17.6188,-29.7371,20,20,19.2608,3.32,90,156,20
40.298,143.4674,-9.4841,-48.008,20,20,19.2608,3.95,90,156,20
40.1335,143.564,-1.3494,-66.279,20,20,19.2608,3.27,90,156,20
39.9691,143.6606,6.7854,-84.5499,20,20,19.2608,1.69,90,156,20
41.709,142.394,-99.8657,108.786,20,20,26.1012,0.4,90,156,20
41.5446,142.4906,-91.731,90.5151,20,20,26.1012,1.02,90,156,20
41.3801,142.5872,-83.5963,72.2442,20,20,26.1012,2.52,90,156,20
41.2157,142.6838,-75.4615,53.9733,20,20,26.1012,2.54,90,156,20
41.0513,142.7805,-67.3268,35.7024,20,20,26.1012,3.5,90,156,20
40.8869,142.8771,-59.1921,17.4314,20,20,26.1012,4.84,90,156,20
40.7224,142.9737,-51.0573,-0.8395,20,20,26.1012,1.63,90,156,20
40.558,143.0703,-42.9226,-19.1104,20,20,26.1012,3.15,90,156,20
40.3936,143.1669,-34.7879,-37.3813,20,20,26.1012,6.49,90,156,20
40.2292,143.2635,-26.6531,-55.6522,20,20,26.1012,4.92,90,156,20
40.0647,143.3601,-18.5184,-73.9231,20,20,26.1012,3.93,90,156,20
39.9003,143.4567,-10.3837,-92.194,20,20,26.1012,2.13,90,156,20
41.6402,142.1901,-117.0348,101.1418,20,20,32.9416,0.53,90,156,20
41.4758,142.2867,-108.9,82.8709,20,20,32.9416,1.24,90,156,20
41.3114,142.3833,-100.7653,64.6,20,20,32.9416,4.17,90,156,20
41.1469,142.48,-92.6306,46.3291,20,20,32.9416,8.56,90,156,20
40.9825,142.5766,-84.4958,28.0582,20,20,32.9416,9.29,90,156,20
40.8181,142.6732,-76.3611,9.7873,20,20,32.9416,6.9,90,156,20
40.6537,142.7698,-68.2264,-8.4836,20,20,32.9416,1.07,90,156,20
40.4892,142.8664,-60.0916,-26.7545,20,20,32.9416,2.75,90,156,20
40.3248,142.963,-51.9569,-45.0254,20,20,32.9416,3.21,90,156,20
40.1604,143.0596,-43.8222,-63.2963,20,20,32.9416,2.84,90,156,20
39.996,143.1562,-35.6874,-81.5672,20,20,32.9416,2.27,90,156,20
39.8315,143.2528,-27.5527,-99.8382,20,20,32.9416,3.2,90,156,20
41.5714,141.9862,-134.2038,93.4977,20,20,39.782,2.12,90,156,20
41.407,142.0828,-126.0691,75.2268,20,20,39.782,1.58,90,156,20
41.2426,142.1795,-117.9343,56.9559,20,20,39.782,2.37,90,156,20
41.0781,142.2761,-109.7996,38.685,20,20,39.782,4.92,90,156,20
40.9137,142.3727,-101.6649,20.4141,20,20,39.782,4.77,90,156,20
40.7493,142.4693,-93.5301,2.1432,20,20,39.782,6.29,90,156,20
40.5849,142.5659,-85.3954,-16.1278,20,20,39.782,2.22,90,156,20
40.4204,142.6625,-77.2607,-34.3987,20,20,39.782,2.14,90,156,20
40.256,142.7591,-69.1259,-52.6696,20,20,39.782,3.3,90,156,20
40.0916,142.8557,-60.9912,-70.9405,20,20,39.782,1.42,90,156,20
39.9272,142.9523,-52.8565,-89.2114,20,20,39.782,3.01,90,156,20
39.7627,143.0489,-44.7217,-107.4823,20,20,39.782,1.42,90,156,20
